native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,counting3,heap,radix,gnome,fastsort,shell,shaker,lodash
0.32,0.707,3.493,4.711,4.984,2.143,2.866,0.28,0.208,0.181,2.183,1.064,3.587,1.967,1.923,3.743,4.199
0.303,0.631,3.787,1.974,5.013,2.155,2.951,0.216,0.152,0.146,2.232,0.905,3.625,1.474,1.904,3.896,3.843
0.304,0.928,3.142,1.86,4.981,2.138,2.883,0.221,0.152,0.196,2.136,0.976,3.371,1.47,1.827,3.777,4.481
0.304,0.669,3.16,1.875,5.387,2.156,3.042,0.219,0.195,0.167,2.24,0.898,3.529,1.461,1.977,4.345,5.13
0.321,0.854,3.222,1.94,5.758,2.175,2.88,0.217,0.155,0.149,2.188,0.89,3.425,1.473,1.955,4.588,3.809
0.324,0.659,3.17,2.246,4.438,2.354,3.732,0.221,0.149,0.146,2.131,0.883,3.363,1.472,1.848,3.905,3.75
0.304,0.669,3.789,2.193,5.045,2.114,2.828,0.221,0.15,0.141,2.144,0.886,3.527,1.462,2.024,3.759,4.071
0.356,0.958,6.137,2.292,5.278,2.39,2.811,0.211,0.167,0.145,2.223,0.924,3.432,1.432,1.79,3.727,6.187
0.302,0.635,3.171,1.932,4.958,2.156,2.842,0.213,0.15,0.146,2.133,0.899,3.509,1.481,1.84,3.76,3.767
0.322,0.671,3.323,1.798,4.803,1.943,2.931,0.232,0.157,0.148,2.121,0.892,3.608,1.393,1.816,3.631,4.293
0.302,0.637,3.315,1.904,4.935,2.089,2.822,0.221,0.186,0.17,2.135,0.932,3.559,1.478,1.85,3.798,3.85
0.304,0.883,3.269,1.975,6.117,2.521,2.816,0.22,0.149,0.153,2.18,0.945,3.763,1.627,1.814,3.798,3.911
0.305,0.632,3.171,1.889,4.985,2.487,2.939,0.211,0.159,0.149,2.16,0.893,3.891,1.451,2.004,3.711,3.772
0.306,0.962,3.17,1.924,5.215,2.414,2.889,0.22,0.153,0.142,2.131,0.885,3.487,1.51,1.919,3.719,4.896
0.306,0.631,6.87,1.951,4.627,2.285,2.82,0.215,0.152,0.169,2.261,0.898,3.694,1.485,1.858,3.786,3.804
